,dataset,model,fold,lambda_value,spearman
268,UBC9_HUMAN_Weile_2017,RITA regressor,7,0.001,0.5139480631690106
269,UBC9_HUMAN_Weile_2017,RITA regressor,7,0.01,0.6457781404502472
270,UBC9_HUMAN_Weile_2017,RITA regressor,7,0.1,0.7182731243699899
271,UBC9_HUMAN_Weile_2017,RITA regressor,7,0.9,0.7265776412422598
272,UBC9_HUMAN_Weile_2017,RITA regressor,8,0.001,0.48589289900886024
273,UBC9_HUMAN_Weile_2017,RITA regressor,8,0.01,0.6546218831182113
274,UBC9_HUMAN_Weile_2017,RITA regressor,8,0.1,0.7172875910065756
275,UBC9_HUMAN_Weile_2017,RITA regressor,8,0.9,0.694331983805668
276,UBC9_HUMAN_Weile_2017,RITA regressor,9,0.001,0.5606965715772327
277,UBC9_HUMAN_Weile_2017,RITA regressor,9,0.01,0.664119762917383
278,UBC9_HUMAN_Weile_2017,RITA regressor,9,0.1,0.7098487976201248
279,UBC9_HUMAN_Weile_2017,RITA regressor,9,0.9,0.6991660822549995
280,SRC_HUMAN_Ahler_2019,RITA regressor,0,0.001,0.7677077215533155
281,SRC_HUMAN_Ahler_2019,RITA regressor,0,0.01,0.8040238032230171
282,SRC_HUMAN_Ahler_2019,RITA regressor,0,0.1,0.7953407489679466
283,SRC_HUMAN_Ahler_2019,RITA regressor,0,0.9,0.7444842651409098
284,SRC_HUMAN_Ahler_2019,RITA regressor,1,0.001,0.7621467037634184
285,SRC_HUMAN_Ahler_2019,RITA regressor,1,0.01,0.8126944028333446
286,SRC_HUMAN_Ahler_2019,RITA regressor,1,0.1,0.8036602068340402
287,SRC_HUMAN_Ahler_2019,RITA regressor,1,0.9,0.7457807544776118
288,SRC_HUMAN_Ahler_2019,RITA regressor,2,0.001,0.7277544950437971
289,SRC_HUMAN_Ahler_2019,RITA regressor,2,0.01,0.7672656300951949
290,SRC_HUMAN_Ahler_2019,RITA regressor,2,0.1,0.7640301486579082
291,SRC_HUMAN_Ahler_2019,RITA regressor,2,0.9,0.7137719719898645
292,SRC_HUMAN_Ahler_2019,RITA regressor,3,0.001,0.7939732892694044
293,SRC_HUMAN_Ahler_2019,RITA regressor,3,0.01,0.8249303178595099
294,SRC_HUMAN_Ahler_2019,RITA regressor,3,0.1,0.807023596597151
295,SRC_HUMAN_Ahler_2019,RITA regressor,3,0.9,0.7430967015606983
296,SRC_HUMAN_Ahler_2019,RITA regressor,4,0.001,0.7346633724130514
297,SRC_HUMAN_Ahler_2019,RITA regressor,4,0.01,0.7697661543912485
298,SRC_HUMAN_Ahler_2019,RITA regressor,4,0.1,0.7494134878806478
299,SRC_HUMAN_Ahler_2019,RITA regressor,4,0.9,0.671472544020044
300,SRC_HUMAN_Ahler_2019,RITA regressor,5,0.001,0.7242513125429284
301,SRC_HUMAN_Ahler_2019,RITA regressor,5,0.01,0.7566871151176056
302,SRC_HUMAN_Ahler_2019,RITA regressor,5,0.1,0.7182426516757214
303,SRC_HUMAN_Ahler_2019,RITA regressor,5,0.9,0.6565913090644316
304,SRC_HUMAN_Ahler_2019,RITA regressor,6,0.001,0.7765884134329609
305,SRC_HUMAN_Ahler_2019,RITA regressor,6,0.01,0.8162975480714452
306,SRC_HUMAN_Ahler_2019,RITA regressor,6,0.1,0.7928658502265779
307,SRC_HUMAN_Ahler_2019,RITA regressor,6,0.9,0.7237324747030326
308,SRC_HUMAN_Ahler_2019,RITA regressor,7,0.001,0.7473066862695419
309,SRC_HUMAN_Ahler_2019,RITA regressor,7,0.01,0.7878265312069922
310,SRC_HUMAN_Ahler_2019,RITA regressor,7,0.1,0.7634207731002874
311,SRC_HUMAN_Ahler_2019,RITA regressor,7,0.9,0.6969506109840334
312,SRC_HUMAN_Ahler_2019,RITA regressor,8,0.001,0.7778532487264279
313,SRC_HUMAN_Ahler_2019,RITA regressor,8,0.01,0.8229284501359755
314,SRC_HUMAN_Ahler_2019,RITA regressor,8,0.1,0.8161181900591143
315,SRC_HUMAN_Ahler_2019,RITA regressor,8,0.9,0.7548501078865724
316,SRC_HUMAN_Ahler_2019,RITA regressor,9,0.001,0.7824080685067286
317,SRC_HUMAN_Ahler_2019,RITA regressor,9,0.01,0.8050499332705482
318,SRC_HUMAN_Ahler_2019,RITA regressor,9,0.1,0.798008573751777
319,SRC_HUMAN_Ahler_2019,RITA regressor,9,0.9,0.7464653745698402
320,BLAT_ECOLX_Deng_2012,RITA regressor,0,0.001,0.7323348777490294
321,BLAT_ECOLX_Deng_2012,RITA regressor,0,0.01,0.7995873671576811
322,BLAT_ECOLX_Deng_2012,RITA regressor,0,0.1,0.7904649700916445
323,BLAT_ECOLX_Deng_2012,RITA regressor,0,0.9,0.7197556363681077
324,BLAT_ECOLX_Deng_2012,RITA regressor,1,0.001,0.7316408916795146
325,BLAT_ECOLX_Deng_2012,RITA regressor,1,0.01,0.7923000039348467
326,BLAT_ECOLX_Deng_2012,RITA regressor,1,0.1,0.7901626835161863
327,BLAT_ECOLX_Deng_2012,RITA regressor,1,0.9,0.7228195077141618
328,BLAT_ECOLX_Deng_2012,RITA regressor,2,0.001,0.742099427415554
329,BLAT_ECOLX_Deng_2012,RITA regressor,2,0.01,0.7934627906724631
