,dataset,model,fold,lambda_value,spearman
265,UBC9_HUMAN_Weile_2017,Augmented Potts,6,0.01,0.7271161417322836
266,UBC9_HUMAN_Weile_2017,Augmented Potts,6,0.1,0.7270915354330708
267,UBC9_HUMAN_Weile_2017,Augmented Potts,6,0.9,0.7265509205650764
268,UBC9_HUMAN_Weile_2017,Augmented Potts,7,0.001,0.675645629778048
269,UBC9_HUMAN_Weile_2017,Augmented Potts,7,0.01,0.6758299527979964
270,UBC9_HUMAN_Weile_2017,Augmented Potts,7,0.1,0.6757854080681756
271,UBC9_HUMAN_Weile_2017,Augmented Potts,7,0.9,0.6750673163029601
272,UBC9_HUMAN_Weile_2017,Augmented Potts,8,0.001,0.6743698082272701
273,UBC9_HUMAN_Weile_2017,Augmented Potts,8,0.01,0.6741377187493023
274,UBC9_HUMAN_Weile_2017,Augmented Potts,8,0.1,0.6740645515579429
275,UBC9_HUMAN_Weile_2017,Augmented Potts,8,0.9,0.6743391252115387
276,UBC9_HUMAN_Weile_2017,Augmented Potts,9,0.001,0.7179600110214508
277,UBC9_HUMAN_Weile_2017,Augmented Potts,9,0.01,0.7176708684828393
278,UBC9_HUMAN_Weile_2017,Augmented Potts,9,0.1,0.7175676537869048
279,UBC9_HUMAN_Weile_2017,Augmented Potts,9,0.9,0.7178935577240683
280,SRC_HUMAN_Ahler_2019,Augmented Potts,0,0.001,0.7138059520707549
281,SRC_HUMAN_Ahler_2019,Augmented Potts,0,0.01,0.7200354943230265
282,SRC_HUMAN_Ahler_2019,Augmented Potts,0,0.1,0.7311681326302525
283,SRC_HUMAN_Ahler_2019,Augmented Potts,0,0.9,0.7433468434639168
284,SRC_HUMAN_Ahler_2019,Augmented Potts,1,0.001,0.738218641141189
285,SRC_HUMAN_Ahler_2019,Augmented Potts,1,0.01,0.7483202057692443
286,SRC_HUMAN_Ahler_2019,Augmented Potts,1,0.1,0.7592155440440147
287,SRC_HUMAN_Ahler_2019,Augmented Potts,1,0.9,0.7690648170481519
288,SRC_HUMAN_Ahler_2019,Augmented Potts,2,0.001,0.747826592461517
289,SRC_HUMAN_Ahler_2019,Augmented Potts,2,0.01,0.7564447784636408
290,SRC_HUMAN_Ahler_2019,Augmented Potts,2,0.1,0.7653019380452549
291,SRC_HUMAN_Ahler_2019,Augmented Potts,2,0.9,0.7689564302372689
292,SRC_HUMAN_Ahler_2019,Augmented Potts,3,0.001,0.7521170975412723
293,SRC_HUMAN_Ahler_2019,Augmented Potts,3,0.01,0.7563854906111264
294,SRC_HUMAN_Ahler_2019,Augmented Potts,3,0.1,0.7651241356687019
295,SRC_HUMAN_Ahler_2019,Augmented Potts,3,0.9,0.7738527937033541
296,SRC_HUMAN_Ahler_2019,Augmented Potts,4,0.001,0.7709674804367969
297,SRC_HUMAN_Ahler_2019,Augmented Potts,4,0.01,0.7732790477241814
298,SRC_HUMAN_Ahler_2019,Augmented Potts,4,0.1,0.7775212972552922
299,SRC_HUMAN_Ahler_2019,Augmented Potts,4,0.9,0.7823883374518722
300,SRC_HUMAN_Ahler_2019,Augmented Potts,5,0.001,0.6801105750064305
301,SRC_HUMAN_Ahler_2019,Augmented Potts,5,0.01,0.6851773924080665
302,SRC_HUMAN_Ahler_2019,Augmented Potts,5,0.1,0.6950542667996082
303,SRC_HUMAN_Ahler_2019,Augmented Potts,5,0.9,0.7040488404881537
304,SRC_HUMAN_Ahler_2019,Augmented Potts,6,0.001,0.7303528020408236
305,SRC_HUMAN_Ahler_2019,Augmented Potts,6,0.01,0.7368793600905374
306,SRC_HUMAN_Ahler_2019,Augmented Potts,6,0.1,0.7571800890044915
307,SRC_HUMAN_Ahler_2019,Augmented Potts,6,0.9,0.7690776642218983
308,SRC_HUMAN_Ahler_2019,Augmented Potts,7,0.001,0.7369141010367037
309,SRC_HUMAN_Ahler_2019,Augmented Potts,7,0.01,0.7377767825667101
310,SRC_HUMAN_Ahler_2019,Augmented Potts,7,0.1,0.7496684653324545
311,SRC_HUMAN_Ahler_2019,Augmented Potts,7,0.9,0.760192228402222
312,SRC_HUMAN_Ahler_2019,Augmented Potts,8,0.001,0.7651410574058698
313,SRC_HUMAN_Ahler_2019,Augmented Potts,8,0.01,0.7709107588287701
314,SRC_HUMAN_Ahler_2019,Augmented Potts,8,0.1,0.7781959804085596
315,SRC_HUMAN_Ahler_2019,Augmented Potts,8,0.9,0.7832653761818781
316,SRC_HUMAN_Ahler_2019,Augmented Potts,9,0.001,0.7727518092089235
317,SRC_HUMAN_Ahler_2019,Augmented Potts,9,0.01,0.7769375323781401
318,SRC_HUMAN_Ahler_2019,Augmented Potts,9,0.1,0.7822264790421016
319,SRC_HUMAN_Ahler_2019,Augmented Potts,9,0.9,0.7898163459187648
320,BLAT_ECOLX_Deng_2012,Augmented Potts,0,0.001,0.7493148640572668
